Date,Fatal,Serious,Slight
2017-10-22,10,57,185
2017-10-23,5,62,260
2017-10-24,5,55,268
2017-10-25,6,68,291
2017-10-26,7,49,293
2017-10-27,7,87,410
2017-10-28,7,59,248
2017-10-29,4,50,257
2017-10-30,4,57,299
2017-10-31,4,74,302
2017-11-1,5,62,298
2017-11-2,5,58,219
2017-11-3,6,55,242
2017-11-4,3,57,286
2017-11-5,4,62,296
2017-11-6,8,65,214
2017-11-7,1,71,347
2017-11-8,5,64,263
2017-11-9,3,63,322
2017-11-10,7,61,348
2017-11-11,7,58,279
2017-11-12,1,62,271
2017-11-13,6,68,302
2017-11-14,4,64,353
2017-11-15,6,67,361
2017-11-16,5,84,347
2017-11-17,5,69,376
2017-11-18,3,63,262
2017-11-19,4,53,248
2017-11-20,6,53,320
2017-11-21,4,68,322
2017-11-22,9,76,343
2017-11-23,5,86,367
2017-11-24,5,95,397
2017-11-25,11,67,305
2017-11-26,7,60,248
2017-11-27,4,77,350
2017-11-28,5,72,388
2017-11-29,7,79,330
2017-11-30,5,67,384
2017-12-1,3,56,370
2017-12-2,4,40,178
2017-12-3,4,46,180
2017-12-4,2,47,237
